"","names","count","count_percent","episode","count_percent_rounded"
"179","missandei",266,0.272083793625465,3,0.27
"180","myrcella",14,0.0143201996644982,3,0.01
"181","nymeria",13,0.00864488156512256,4,0.01
"182","qyburn",7,0.00465493622737369,4,0
"183","sansa",17378,11.5562116799,4,11.56
"184","jaqen",26,0.0172897631302451,4,0.02
"185","tommen",873,0.580537046642461,4,0.58
"186","melisandre",1441,0.958251871949354,4,0.96
"187","cersei",2577,1.71368152256314,4,1.71
"188","olly",212,0.14097806860046,4,0.14
"189","hodor",177,0.117703387463592,4,0.12
"190","varys",127,0.0844538429823511,4,0.08
"191","khaleesi",23320,15.5075875460506,4,15.51
"192","pod",60,0.0398994533774887,4,0.04
"193","hound",39,0.0259346446953677,4,0.03
"194","stannis",403,0.267991328518799,4,0.27
"195","littlefinger",743,0.494088230991235,4,0.49
"196","khal",1100,0.731489978587293,4,0.73
"197","theon",2858,1.90054396254771,4,1.9
"198","olenna",495,0.329170490364282,4,0.33
"199","gregor",11,0.00731489978587293,4,0.01
"200","sparrow",2417,1.60728298022317,4,1.61
"201","snow",11988,7.97191078482225,4,7.97
"202","oberyn",19,0.0126348269028714,4,0.01
"203","gilly",14,0.00930987245474737,4,0.01
"204","tywin",37,0.024604662916118,4,0.02
"205","daario",1384,0.92034739124074,4,0.92
"206","alliser",61,0.0405644442671135,4,0.04
"207","petr",2,0.00132998177924962,4,0
"208","daenerys",26896,17.8855949673489,4,17.89
"209","euron",36,0.0239396720264932,4,0.02
"210","eddard",132,0.0877787974304752,4,0.09
"211","podrick",60,0.0398994533774887,4,0.04
"212","shaggydog",43,0.0285946082538669,4,0.03
"213","ellaria",11,0.00731489978587293,4,0.01
"214","obara",0,0,4,0
"215","mountain",74,0.0492093258322361,4,0.05
"216","brienne",11896,7.91073162297676,4,7.91
"217","samwell",3,0.00199497266887444,4,0
"218","jorah",2585,1.71900144968014,4,1.72
"219","blackfish",3,0.00199497266887444,4,0
"220","osha",3714,2.46977616406655,4,2.47
"221","joffrey",1455,0.967561744404102,4,0.97
"222","meera",7,0.00465493622737369,4,0
"223","tyrion",4133,2.74840734681935,4,2.75
"224","margaery",1687,1.12183963079706,4,1.12
"225","rickon",1219,0.810623894452646,4,0.81
"226","roose",38,0.0252696538057429,4,0.03
"227","loras",1377,0.915692455013366,4,0.92
"228","ramsay",10435,6.93917993323492,4,6.94
"229","yara",593,0.394339597547514,4,0.39
"230","davos",512,0.340475335487904,4,0.34
"231","kevan",33,0.0219446993576188,4,0.02
"232","bronn",132,0.0877787974304752,4,0.09
"233","bran",1017,0.676295734748434,4,0.68
"234","tyene",0,0,4,0
"235","arthur",56,0.0372394898189895,4,0.04
"236","jaime",641,0.426259160249505,4,0.43
"237","tormund",11270,7.49444732607163,4,7.49
"238","arya",1773,1.17902884730479,4,1.18
"239","missandei",763,0.507388048783732,4,0.51
"240","myrcella",2,0.00132998177924962,4,0
"241","nymeria",3314,1.71348503415078,5,1.71
"242","qyburn",1,0.000517044367577182,5,0
"243","sansa",9016,4.66167201807587,5,4.66
"244","jaqen",230,0.118920204542752,5,0.12
"245","tommen",36,0.0186135972327785,5,0.02
"246","melisandre",2879,1.48857073425471,5,1.49
"247","cersei",464,0.239908586555812,5,0.24
"248","olly",67,0.0346419726276712,5,0.03
"249","hodor",94731,48.980129984954,5,48.98
"250","varys",1881,0.972560455412679,5,0.97
"251","khaleesi",1478,0.764191575279075,5,0.76
"252","pod",322,0.166488286359853,5,0.17
"253","hound",60,0.0310226620546309,5,0.03
"254","stannis",155,0.0801418769744632,5,0.08
"255","littlefinger",1639,0.847435718459001,5,0.85
"256","khal",146,0.0754884776662685,5,0.08
"257","theon",3293,1.70262710243166,5,1.7
"258","olenna",9,0.00465339930819464,5,0
"259","gregor",6,0.00310226620546309,5,0
"260","sparrow",151,0.0780736995041545,5,0.08
"261","snow",2901,1.4999457103414,5,1.5
"262","oberyn",138,0.0713521227256511,5,0.07
"263","gilly",15,0.00775566551365773,5,0.01
"264","tywin",23,0.0118920204542752,5,0.01
"265","daario",206,0.106511139720899,5,0.11
"266","alliser",13,0.00672157677850336,5,0.01
"267","petr",2,0.00103408873515436,5,0
"268","daenerys",6353,3.28478286721784,5,3.28
"269","euron",2599,1.3437983113331,5,1.34
"270","eddard",40,0.0206817747030873,5,0.02
"271","podrick",27,0.0139601979245839,5,0.01
"272","shaggydog",1019,0.526868210561148,5,0.53
"273","ellaria",6,0.00310226620546309,5,0
"274","obara",0,0,5,0
"275","mountain",81,0.0418805937737517,5,0.04
"276","brienne",13083,6.76449146101227,5,6.76
"277","samwell",23,0.0118920204542752,5,0.01
"278","jorah",5540,2.86442579637759,5,2.86
"279","blackfish",114,0.0589430579037987,5,0.06
"280","osha",247,0.127709958791564,5,0.13
"281","joffrey",453,0.234221098512463,5,0.23
"282","meera",912,0.47154446323039,5,0.47
"283","tyrion",1599,0.826753943755914,5,0.83
"284","margaery",133,0.0687669008877652,5,0.07
"285","rickon",211,0.109096361558785,5,0.11
"286","roose",29,0.0149942866597383,5,0.01
"287","loras",26,0.0134431535570067,5,0.01
"288","ramsay",1857,0.960151390590827,5,0.96
"289","yara",2085,1.07803750639842,5,1.08
"290","davos",199,0.102891829147859,5,0.1
"291","kevan",2,0.00103408873515436,5,0
"292","bronn",62,0.0320567507897853,5,0.03
"293","bran",14982,7.74635871504134,5,7.75
"294","tyene",0,0,5,0
"295","arthur",30,0.0155113310273155,5,0.02
"296","jaime",449,0.232152921042155,5,0.23
"297","tormund",12032,6.22107783068865,5,6.22
"298","arya",5993,3.09864689489005,5,3.1
"299","missandei",43,0.0222329078058188,5,0.02
"300","myrcella",2,0.00103408873515436,5,0
